Team,Record,PF,PA,1,2,3,4,5,6,7,8,9,10
Sup,(4-8),1501,1548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1375,0.2628,0.3640,0.2357,
Teja,(5-7),1382,1434,0.0000,0.0000,0.0000,0.0000,0.0000,0.2975,0.0842,0.2302,0.2545,0.1336,
Nick,(5-7),1379,1395,0.0000,0.0000,0.0000,0.0000,0.0213,0.0815,0.3173,0.3845,0.1954,0.0000,
Bonk,(7-5),1467,1395,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Kavin,(6-6),1317,1328,0.0000,0.0000,0.0000,0.0947,0.2266,0.4078,0.2709,0.0000,0.0000,0.0000,
Evan,(9-3),1550,1430,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Abhinav,(4-8),1430,1578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0607,0.1225,0.1861,0.6307,
Sri,(8-4),1429,1397,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Sid,(6-6),1455,1428,0.0000,0.0000,0.0000,0.2364,0.5511,0.1367,0.0758,0.0000,0.0000,0.0000,
Aman,(6-6),1468,1445,0.0000,0.0000,0.0000,0.6689,0.2010,0.0765,0.0536,0.0000,0.0000,0.0000,
